6619500,13853,1
6619500,23531,1
6619500,2638,1
6619500,14226,1
6619500,10329,2
6619500,28391,2
6619500,4479,5
6619500,26722,2
6619500,12078,1
6619500,21067,25
6619500,251,1
6619500,28370,3
6619500,15089,24
6619500,4281,1
6619500,23793,2
6619500,11687,1
6619500,6609,1
6619500,11465,7
6619500,11604,2
6619500,19314,1
6619500,19962,2
6619500,7692,1
6619500,24848,1
6619500,11767,1
6619500,2669,1
6619500,23662,1
6619500,21110,5
6619500,16550,1
6619500,14863,1
6619500,993,1
6619500,15934,21
6619500,26114,1
6619500,24805,1
6619500,16952,24
6619500,3627,31
6619500,9472,1
6619500,13375,1
6619500,1917,22
6619500,7868,1
6619500,7704,1
6619500,8689,2
6619500,29531,1
6619500,20180,1
6619500,5324,1
6619500,25086,1
6619500,5349,1
6619500,25488,1
6619500,7955,3
6619500,6331,1
6619500,18275,2
6619500,5221,24
6619500,7354,1
5952250,25260,2
5952250,9612,1
5952250,5067,89
5952250,17945,1
5952250,17060,2
5952250,29197,1
5952250,3149,1
5952250,5640,1
5952250,8327,1
5952250,25424,1
5952250,13738,1
5952250,13588,1
5952250,24196,1
5952250,5094,23
5952250,8662,1
5952250,28180,1
5952250,24471,2
5952250,24922,1
5952250,28316,1
5952250,28333,1
5952250,19374,1
5952250,28391,1
5952250,19279,1
5952250,6827,14
5952250,8637,2
5952250,11977,3
5952250,21796,1
5952250,12285,4
5952250,1591,1
5952250,23273,1
5952250,21071,1
5952250,7780,1
5952250,2899,1
5952250,7215,1
5952250,7812,1
5952250,15831,1
5952250,14020,2
145750,5067,1
145750,16939,1
145750,7576,1
145750,11196,30
145750,21977,1
145750,21110,1
145750,17999,1
145750,24242,70
145750,8680,2
145750,21094,1
145750,7409,24
145750,1440,5
145750,22094,1
145750,11578,23
145750,25637,1
145750,22099,2
145750,7083,1
145750,3847,47
145750,10584,1
9288000,13460,1
9288000,10329,1
9288000,6839,2
9288000,26722,2
9288000,11328,25
9288000,18353,2
9288000,5254,1
9288000,10999,6
9288000,19394,21
9288000,5785,1
9288000,9563,2
9288000,19702,5
9288000,24922,2
9288000,28605,2
9288000,2683,54
9288000,14020,1
9288000,24194,1
9288000,1155,2
9288000,3626,1
9288000,2971,32
9288000,6401,8
9288000,6352,3
9288000,24385,1
9288000,27508,7
9288000,22317,1
9288000,2669,1
12008000,16331,22
12008000,15534,1
12008000,8365,1
12008000,21481,1
12008000,25353,1
12008000,10329,1
12008000,24977,1
12008000,2739,1
12008000,24274,30
12008000,25246,1
12008000,14261,26
12008000,11904,2
12008000,7390,2
12008000,7208,2
12008000,3552,1
12008000,21503,1
12008000,3185,1
12008000,28270,1
12008000,18075,1
12008000,6765,1
12008000,23207,1
12008000,27458,2
12008000,11199,1
12008000,19702,1
12008000,25618,34
12008000,20425,1
12008000,5053,2
12008000,5680,2
12008000,4960,24
12008000,17647,24
12008000,2605,1
12008000,14020,1
12008000,11958,1
12008000,24196,1
12008000,6828,1
12008000,27893,1
12008000,20340,1
12008000,7668,1
12008000,1591,1
12008000,4953,5
12008000,29084,1
12008000,6918,1
12008000,20477,1
12008000,7868,1
12008000,12737,1
12008000,6143,1
12008000,15197,1
12008000,29547,1
12008000,26618,3
12008000,18697,1
12008000,21838,1
12008000,19381,1
12008000,6465,1
12008000,17081,2
12008000,25914,1
12008000,241,1
12008000,647,4
12008000,27155,1
12008000,1966,1
12008000,20979,21
8555500,22506,1
8555500,22603,1
8555500,19341,9
8555500,7376,1
8555500,10741,31
8555500,25372,27
8555500,22958,1
8555500,25917,2
8555500,28546,1
8555500,4510,5
8555500,6641,4
8555500,7262,1
8555500,13247,2
8555500,2249,9
8555500,24963,8
8555500,7409,1
8555500,29078,68
8555500,6246,1
8555500,12173,7
8555500,21113,1
8555500,25299,1
8555500,8166,1
8555500,19379,30
8555500,18180,31
8555500,1831,3
8555500,24256,1
8555500,27615,31
8555500,15750,1
8555500,12606,1
8555500,1045,1
8555500,1282,28
8555500,11061,1
8555500,5598,46
8555500,4738,30
8555500,15697,2
8555500,13044,9
8555500,28752,2
8555500,15962,7
8555500,1685,1
8555500,19631,1
8555500,7762,30
8555500,924,1
8555500,26614,1
425500,17506,7
425500,13450,8
425500,12285,25
425500,9563,1
425500,22094,7
425500,8313,27
425500,10480,1
425500,17297,1
425500,25424,1
4853750,5595,1
4853750,23473,1
4853750,23134,1
4853750,18024,1
4853750,19955,25
4853750,26058,2
4853750,21501,1
4853750,25596,23
4853750,12223,1
4853750,14089,1
4853750,22240,2
5980500,13962,1
5980500,17959,3
5980500,21400,2
5980500,23814,1
5980500,27155,1
5980500,25366,1
5980500,3650,4
5980500,14580,1
5980500,18353,1
4256500,18647,1
4256500,19394,1
4256500,11199,1
4256500,28930,1
4256500,3492,1
4256500,3800,3
4256500,13556,1
4256500,20402,1
4256500,14454,1
4256500,24898,1
4256500,14596,1
4256500,9990,1
4256500,11889,1
4256500,21186,1
4256500,21709,1
4256500,14929,1
4256500,22484,1
4256500,24001,2
4256500,7269,1
4256500,4694,10
4256500,29547,2
4256500,27514,1
4256500,28378,1
4256500,1170,1
4256500,21400,1
4256500,12036,1
4256500,10991,1
4256500,19897,5
4256500,13080,2
4256500,24922,1
4256500,17218,1
4256500,19175,1
4256500,5267,1
4256500,17032,1
4256500,23045,4
4256500,15672,1
4256500,16913,1
4256500,23136,3
4256500,23515,2
4256500,22280,7
4256500,6868,1
4256500,7631,1
4256500,17405,1
4256500,7868,2
4256500,20029,1
4256500,27256,1
4256500,29473,1
4256500,4528,1
4256500,3445,1
4256500,13888,2
4256500,24075,1
4256500,7188,2
4256500,2410,69
4256500,28985,1
4256500,12588,4
4256500,4993,1
4256500,28135,1
4256500,13254,3
4256500,29149,3
4256500,6339,1
4256500,290,1
9039750,20676,1
9039750,24978,3
9039750,20154,1
9039750,11196,108
9039750,17114,1
9039750,21628,1
9039750,2927,1
9039750,16463,1
9039750,28465,1
9039750,18290,1
9039750,11983,5
9039750,19814,3
9039750,14360,1
9039750,16540,2
