6619500,14020|3228|1831|16540|11196
5952250,21110|1831|4571|11196|8719
145750,15934|19514|20411|7868|23662
9288000,7868|14261|679|4949|11176
12008000,21110|24869|3627|13070|10702
8555500,14261|7868|2257|29099|21110
425500,7868|25260|2257|23662|4949
4853750,7868|15934|12352|4571|21110
5980500,4571|15934|7868|25488|8689
4256500,4949|14580|29099|21110|4571
9039750,14261|7868|15934|22749|26288
4115500,4949|25260|29099|7868|4571
12215000,599|18180|2963|21865|10948
591750,18024|12285|29099|7868|5848
11947000,11849|18805|8689|22749|19394
5256500,21110|15584|12285|24869|2605
7367000,7868|5848|11849|11670|18805
4956000,21110|2655|20297|2826|29203
7927750,679|4949|11080|21565|5848
9982500,7868|21672|21067|11176|29099
4606000,18805|11080|7868|14261|14020
6572500,5848|21838|2669|12285|4949
10443000,19458|7552|15159|24196|25372
1710500,15159|2826|20979|2655|16463
9706000,2963|16376|13380|12165|7868
3913250,7868|4571|11080|14261|12977
1627000,14261|29099|3228|14020|21110
10063000,3228|4078|12977|7868|14020
4195500,21110|7868|14020|143|16463
239250,11196|143|8689|4281|11176
5292000,7868|21110|14020|3228|22359
1194750,2655|21110|10329|25372|10176
5108000,21110|12220|10014|2655|19458
1617250,14020|14580|679|14261|21110
4054000,18730|7868|12977|14020|12285
8145500,21838|29099|7868|3228|21672
567250,21110|28463|29099|24869|18805
12371000,7868|21110|23656|21659|18024
6867750,7868|24869|29099|4949|21672
1319000,24869|29099|7868|23662|29203
1832000,18024|12285|4078|22280|24869
3188000,7868|14020|21672|7105|12285
8430000,14020|18730|13592|14261|21110
29750,4949|679|11080|18730|7868
980000,21672|4949|14261|14020|7868
5139250,21110|1831|25372|2655|16463
6099250,11849|8689|14048|11670|24869
2050000,23662|12977|10151|7868|6148
2316250,25372|25424|21865|21975|7868
10533750,15661|7868|10014|2000|5598
10915250,21110|25372|5848|6880|9549
6458000,7868|20979|28937|25372|3228
4557250,22280|21110|14020|29203|21565
6250250,21838|14261|4949|3228|679
8909750,18730|11776|3390|7868|2683
7116750,21110|7868|22749|3719|23308
1815750,18805|29203|22280|15584|12285
1971500,16939|20343|1831|6290|7070
5170500,15584|12285|21110|4078|3850
11111500,14261|7868|29099|14020|12977
6996000,7868|7105|18730|25260|25488
7016500,7868|29099|11080|8689|18805
3335000,14261|4949|28410|7868|2257
6264750,4571|14261|18024|7868|21838
9202750,12977|3228|29099|8689|21838
10302500,7868|14261|15584|29547|18730
3114000,3228|11679|21975|21865|24196
9015000,23928|29099|18024|12977|12285
452750,18730|8327|21110|8689|7868
3404000,18730|679|7868|14020|11080
1063000,7868|29099|8689|29265|2826
8435250,25372|7552|12173|5598|25420
8869250,14261|21838|24869|21672|24385
6126750,7868|14261|11080|21672|11176
6766250,11679|11196|12977|16406|14261
1579250,7868|18805|11080|8689|7070
764750,23662|4571|14261|11080|4949
2910750,4949|11080|23928|2257|14261
12417500,11080|7868|14261|18805|10329
8156500,11849|3228|7868|2257|21092
418500,7868|23662|29099|21110|6880
3245250,12285|23928|7868|4078|21110
4423500,18730|4949|8689|11080|14580
8195000,21110|7297|25372|23233|4411
11632250,7868|14020|679|3719|26288
5034000,9549|29265|28463|25372|28992
8845250,10176|25372|26722|13450|11679
3168000,5848|18024|12285|29099|18730
11493000,29099|11080|12285|18730|14261
9079500,11080|18805|4949|2257|5845
8730250,5848|22280|21110|3590|679
65500,21110|15159|29203|20529|679
6515500,14261|7868|679|15934|8719
832250,7868|21110|14261|13070|11080
10054250,7868|12977|23662|8689|18730
4503500,14261|29099|4571|7868|3228
11142000,16463|2826|29203|4078|14119
4376250,29099|3228|27791|8637|5848
5901250,7868|5848|18805|21110|8689
10521000,24869|5848|21110|21092|3627
1561250,25420|5848|25380|2963|19458
7568750,7868|11080|18805|18730|24869
2182750,18805|20979|7868|14020|18024
190500,15584|14261|11080|22749|2257
3977750,7868|21110|23662|21672|25260
10401500,21110|12285|2826|29203|12220
4814750,11196|18024|4571|22280|21110
3226500,11080|14580|4949|2257|11176
3588500,12394|13450|14014|1461|934
6247250,21110|8689|7868|12220|2963
10885750,7868|4571|4949|29099|23662
11552750,7868|14020|13070|22749|12977
10322250,29203|21110|8689|12285|11176
7483500,26722|14580|7868|21110|8719
3148500,7868|11080|679|1591|3228
11169500,21110|29203|14119|2963|29265
7149500,11176|6880|16540|19514|7868
10598500,12285|6080|23662|11080|12977
47000,21110|7868|19514|15934|12352
4102750,7868|14261|23662|143|29099
5655250,16463|12220|599|18180|26394
3293750,7868|11080|3228|2257|23662
341000,25372|1831|16463|2655|7552
267250,7868|5848|14261|4571|19514
6654750,21110|22749|18741|10014|14020
5957500,23308|12977|4078|22749|14020
4475750,7868|1831|12220|20388|282
7190750,7868|14020|15934|19514|11080
7163250,25372|7868|679|6290|11080
12231250,7868|5848|21110|9620|25372
12386500,18730|25488|15934|4571|18024
11535500,29099|3228|6880|21110|14261
9842500,12977|11196|15138|16406|11679
7320250,7868|12977|18730|12220|3228
3009000,14020|21110|29203|26288|16500
6205000,29099|143|14020|21110|18805
1727500,18805|14261|4571|5848|14580
4907500,7868|10329|18730|8689|9549
6299000,21110|25372|143|398|29099
4454500,7868|11080|14020|4571|12977
2251750,11080|14020|23662|29547|679
